对话,是否遭遇霸凌
你喜欢参加学校的社团活动吗？,否
你最近读了什么有趣的书？,否
请停止这种行为，这让我感到很不舒服。,是
你的言语和行为让我感到被孤立。,是
你总是取笑我，这真的很伤人。,是
你喜欢参加学校的社团活动吗？,否
为什么你总是挑我的错？,是
你最喜欢的学科是什么？,否
你喜欢参加学校的社团活动吗？,否
为什么你总是针对我？,是
为什么你总是挑我的错？,是
你的言语和行为让我感到被孤立。,是
你觉得我们的学校怎么样？,否
你最喜欢的学科是什么？,否
你觉得这次考试难吗？,否
你喜欢参加学校的社团活动吗？,否
你总是取笑我，这真的很伤人。,是
你觉得这次考试难吗？,否
你最喜欢的学科是什么？,否
你为什么总是欺负我？,是
你为什么总是欺负我？,是
你最近读了什么有趣的书？,否
你总是取笑我，这真的很伤人。,是
你最喜欢的学科是什么？,否
你最近参加了什么有趣的活动吗？,否
你最近参加了什么有趣的活动吗？,否
你这样对待别人，真的好吗？,是
你最喜欢的学科是什么？,否
今天的天气真好。,否
你觉得这次考试难吗？,否
你这样对待别人，真的好吗？,是
你最喜欢的学科是什么？,否
你喜欢参加学校的社团活动吗？,否
你最近读了什么有趣的书？,否
你为什么总是欺负我？,是
为什么你总是挑我的错？,是
我需要告诉老师你的所作所为。,是
我感到很痛苦，因为你的行为。,是
你最近读了什么有趣的书？,否
我需要告诉老师你的所作所为。,是
你这样对待别人，真的好吗？,是
你总是取笑我，这真的很伤人。,是
你的言语和行为让我感到被孤立。,是
你为什么总是欺负我？,是
你为什么总是欺负我？,是
你觉得我们的学校怎么样？,否
你最喜欢的学科是什么？,否
我需要告诉老师你的所作所为。,是
你喜欢参加学校的社团活动吗？,否
请停止这种行为，这让我感到很不舒服。,是
你这样对待别人，真的好吗？,是
你对即将到来的假期有什么计划？,否
你喜欢参加学校的社团活动吗？,否
我需要告诉老师你的所作所为。,是
你昨晚看了那部电影吗？,否
你的言语和行为让我感到被孤立。,是
为什么你总是针对我？,是
你最近读了什么有趣的书？,否
我需要告诉老师你的所作所为。,是
你这样对待别人，真的好吗？,是
我需要告诉老师你的所作所为。,是
我感到很痛苦，因为你的行为。,是
为什么你总是针对我？,是
为什么你总是针对我？,是
你对即将到来的假期有什么计划？,否
你昨晚看了那部电影吗？,否
你觉得我们的学校怎么样？,否
你最喜欢的学科是什么？,否
请停止这种行为，这让我感到很不舒服。,是
你昨晚看了那部电影吗？,否
你总是取笑我，这真的很伤人。,是
为什么你总是针对我？,是
请停止这种行为，这让我感到很不舒服。,是
你喜欢参加学校的社团活动吗？,否
为什么你总是针对我？,是
请停止这种行为，这让我感到很不舒服。,是
你对即将到来的假期有什么计划？,否
我感到很痛苦，因为你的行为。,是
你觉得这次考试难吗？,否
我需要告诉老师你的所作所为。,是
你昨晚看了那部电影吗？,否
你觉得这次考试难吗？,否
你觉得这次考试难吗？,否
你这样对待别人，真的好吗？,是
你喜欢参加学校的社团活动吗？,否
你的言语和行为让我感到被孤立。,是
你最近参加了什么有趣的活动吗？,否
你对即将到来的假期有什么计划？,否
我需要告诉老师你的所作所为。,是
你对即将到来的假期有什么计划？,否
我需要告诉老师你的所作所为。,是
你昨晚看了那部电影吗？,否
我感到很痛苦，因为你的行为。,是
请停止这种行为，这让我感到很不舒服。,是
你喜欢参加学校的社团活动吗？,否
为什么你总是针对我？,是
你为什么总是欺负我？,是
你觉得这次考试难吗？,否
你喜欢参加学校的社团活动吗？,否
你总是取笑我，这真的很伤人。,是
你觉得这次考试难吗？,否
你昨晚看了那部电影吗？,否
今天的天气真好。,否
你觉得我们的学校怎么样？,否
你最近参加了什么有趣的活动吗？,否
你最喜欢的学科是什么？,否
今天的天气真好。,否
你的言语和行为让我感到被孤立。,是
请停止这种行为，这让我感到很不舒服。,是
你最近参加了什么有趣的活动吗？,否
我需要告诉老师你的所作所为。,是
今天的天气真好。,否
我感到很痛苦，因为你的行为。,是
为什么你总是针对我？,是
你觉得这次考试难吗？,否
你最喜欢的学科是什么？,否
你觉得这次考试难吗？,否
你最近读了什么有趣的书？,否
你觉得我们的学校怎么样？,否
你昨晚看了那部电影吗？,否
请停止这种行为，这让我感到很不舒服。,是
你昨晚看了那部电影吗？,否
你昨晚看了那部电影吗？,否
你昨晚看了那部电影吗？,否
你总是取笑我，这真的很伤人。,是
你最喜欢的学科是什么？,否
我感到很痛苦，因为你的行为。,是
你为什么总是欺负我？,是
你最近读了什么有趣的书？,否
你的言语和行为让我感到被孤立。,是
我需要告诉老师你的所作所为。,是
我感到很痛苦，因为你的行为。,是
你的言语和行为让我感到被孤立。,是
你最喜欢的学科是什么？,否
请停止这种行为，这让我感到很不舒服。,是
你这样对待别人，真的好吗？,是
你最近参加了什么有趣的活动吗？,否
我感到很痛苦，因为你的行为。,是
你最近参加了什么有趣的活动吗？,否
你昨晚看了那部电影吗？,否
为什么你总是挑我的错？,是
请停止这种行为，这让我感到很不舒服。,是
你最近读了什么有趣的书？,否
你总是取笑我，这真的很伤人。,是
你昨晚看了那部电影吗？,否
为什么你总是挑我的错？,是
你最近参加了什么有趣的活动吗？,否
你为什么总是欺负我？,是
今天的天气真好。,否
你总是取笑我，这真的很伤人。,是
今天的天气真好。,否
为什么你总是挑我的错？,是
你最近读了什么有趣的书？,否
你总是取笑我，这真的很伤人。,是
你对即将到来的假期有什么计划？,否
我需要告诉老师你的所作所为。,是
请停止这种行为，这让我感到很不舒服。,是
你觉得我们的学校怎么样？,否
你这样对待别人，真的好吗？,是
你觉得我们的学校怎么样？,否
你觉得我们的学校怎么样？,否
你觉得这次考试难吗？,否
你对即将到来的假期有什么计划？,否
你昨晚看了那部电影吗？,否
你最喜欢的学科是什么？,否
今天的天气真好。,否
你喜欢参加学校的社团活动吗？,否
你觉得这次考试难吗？,否
你这样对待别人，真的好吗？,是
你最喜欢的学科是什么？,否
你最近读了什么有趣的书？,否
你这样对待别人，真的好吗？,是
我需要告诉老师你的所作所为。,是
为什么你总是针对我？,是
你的言语和行为让我感到被孤立。,是
我感到很痛苦，因为你的行为。,是
